COD_DANE_A,Residential buildings (TVIVIENDA),Residential Occupied&Used (TP15_1_OCU),Residential Occupied&Empty (TP15_2_OCU),Residential Temporary (TP15_3_OCU),Residential Empty (TP15_4_OCU),Households (TP16_HOG),Residential Electricity Y (TP19_EE_1),Residential Electricity N (TP19_EE_2)
0503010000000000010131,33,33,0,0,0,35,33,0
0503010000000000010120,33,27,0,4,2,27,26,1
0503010000000000010119,33,24,2,0,7,25,23,1
0503010000000000010126,96,84,6,2,4,84,82,2
0503010000000000010121,33,20,2,0,11,20,20,0
0503010000000000010140,20,13,2,4,1,13,13,0
0503010000000000010139,25,17,1,6,1,17,17,0
0503010000000000010142,40,36,0,4,0,36,34,2
0503010000000000010141,4,0,1,3,0,0,0,0
0503010000000000010134,56,50,3,0,3,52,50,0
0503010000000000010133,12,10,0,1,1,10,10,0
0503010000000000010138,13,9,0,2,2,9,9,0
0503010000000000010137,1,0,0,1,0,0,0,0
0502110000000000010218,13,7,0,3,3,7,7,0
0502110000000000010217,0,0,0,0,0,0,0,0
0502110000000000010220,15,12,0,2,1,12,12,0
0502110000000000010219,10,9,0,1,0,9,9,0
0502110000000000010209,15,12,0,1,2,12,12,0
0502110000000000010208,28,19,0,2,7,19,19,0
0502110000000000010216,6,0,0,3,3,0,0,0
0502110000000000010210,0,0,0,0,0,0,0,0
0503010000000000010115,32,27,2,0,3,27,27,0
0503010000000000010109,27,27,0,0,0,27,26,1
0503010000000000010118,4,4,0,0,0,4,4,0
0503010000000000010117,42,35,4,1,2,37,35,0
0503010000000000010106,32,30,0,0,2,30,29,1
0503010000000000010101,37,33,0,2,2,33,31,2
0503010000000000010108,42,41,0,0,1,43,41,0
0503010000000000010107,51,42,4,0,5,43,42,0
0502110000000000010132,39,27,0,10,2,28,27,0
0502110000000000010131,70,54,0,9,7,54,53,1
0502110000000000010134,54,40,0,6,8,41,40,0
0502110000000000010133,18,11,0,2,5,11,11,0
0502110000000000010127,83,60,0,16,7,61,60,0
0502110000000000010114,109,88,0,15,6,88,84,4
0502110000000000010130,62,40,0,12,10,40,40,0
0502110000000000010129,50,33,0,15,2,33,33,0
0502110000000000010204,151,111,0,25,15,112,111,0
0502110000000000010201,41,34,0,7,0,37,33,1
0502110000000000010207,11,9,0,2,0,9,9,0
0502110000000000010206,23,18,0,5,0,18,18,0
0502110000000000010137,4,0,0,3,1,0,0,0
0502110000000000010135,90,61,0,23,6,61,61,0
0502110000000000010139,26,21,0,4,1,22,21,0
0502110000000000010138,28,22,0,5,1,22,22,0
0500420010200300010106,0,0,0,0,0,0,0,0
0500420010200300010105,0,0,0,0,0,0,0,0
0500420010200300010108,4,4,0,0,0,7,4,0
0500420010200300010107,7,5,0,0,2,6,5,0
0500420010200300010102,1,0,0,1,0,0,0,0
0500420010200300010101,0,0,0,0,0,0,0,0
0500420010200300010104,4,4,0,0,0,4,4,0
0500420010200300010103,9,7,0,1,1,7,7,0
0502110000000000010108,35,27,0,8,0,28,27,0
0502110000000000010103,69,51,0,15,3,51,51,0
0502110000000000010111,0,0,0,0,0,0,0,0
0502110000000000010109,75,44,0,19,12,47,44,0
0500420010200300010110,0,0,0,0,0,0,0,0
0500420010200300010109,1,0,0,1,0,0,0,0
0500420010200300010112,12,9,0,2,1,9,8,1
0500420010200300010111,2,0,0,0,2,0,0,0
0500410000000000010128,4,0,0,2,2,0,0,0
0500410000000000010127,0,0,0,0,0,0,0,0
0500410000000000010130,1,0,0,0,1,0,0,0
0500410000000000010129,5,4,0,0,1,4,4,0
0500410000000000010123,13,8,0,3,2,9,8,0
0500410000000000010122,33,19,0,9,5,20,19,0
0500410000000000010126,0,0,0,0,0,0,0,0
0500410000000000010124,24,19,0,2,3,20,19,0
0500410000000000010136,8,7,0,1,0,8,7,0
0500410000000000010135,0,0,0,0,0,0,0,0
0500410000000000010138,6,4,0,1,1,6,4,0
0500410000000000010137,11,11,0,0,0,11,11,0
0500410000000000010132,15,13,0,2,0,13,13,0
0500410000000000010131,13,11,0,1,1,11,11,0
0500410000000000010134,0,0,0,0,0,0,0,0
0500410000000000010133,7,6,0,1,0,6,6,0
0500410000000000010104,5,0,0,4,1,0,0,0
0500410000000000010103,44,19,0,22,3,19,19,0
0500410000000000010106,2,0,0,2,0,0,0,0
0500410000000000010105,11,9,0,2,0,10,9,0
0500220020101600010103,9,6,1,0,2,6,6,0
0500220020101600010102,12,12,0,0,0,13,12,0
0500410000000000010102,17,5,0,8,4,6,5,0
0500410000000000010101,20,12,0,5,3,12,12,0
0500410000000000010114,35,29,0,3,3,29,29,0
0500410000000000010111,32,15,0,13,4,15,15,0
0500410000000000010118,10,8,0,2,0,8,8,0
0500410000000000010117,0,0,0,0,0,0,0,0
0500410000000000010108,69,63,0,5,1,63,58,5
0500410000000000010107,29,18,0,5,6,18,18,0
0500410000000000010110,12,9,0,2,1,9,9,0
0500410000000000010109,0,0,0,0,0,0,0,0
0500220020300200010112,1,0,0,0,1,0,0,0
0500220020300200010111,28,13,0,9,6,13,13,0
0500220020300200010114,0,0,0,0,0,0,0,0
0500220020300200010113,0,0,0,0,0,0,0,0
0500220020300200010108,12,10,0,1,1,10,10,0
0500220020300200010107,4,4,0,0,0,4,4,0
0500220020300200010110,13,7,0,2,4,7,7,0
0500220020300200010109,0,0,0,0,0,0,0,0
0500220030300400010103,5,0,0,2,3,0,0,0
0500220030300400010102,0,0,0,0,0,0,0,0
0500220020101600010101,31,17,6,1,7,18,17,0
0500220030300400010104,0,0,0,0,0,0,0,0
0500220020300200010116,5,5,0,0,0,5,5,0
0500220020300200010115,8,7,0,1,0,7,7,0
0500220030300400010101,1,0,0,0,1,0,0,0
0500220020300200010117,0,0,0,0,0,0,0,0
0500210000000000010818,26,25,0,0,1,25,25,0
0500210000000000010817,25,24,1,0,0,27,24,0
0500210000000000010821,47,39,0,4,4,40,37,2
0500210000000000010819,17,14,0,2,1,14,14,0
0500210000000000010811,27,13,0,5,9,13,13,0
0500210000000000010809,32,27,0,3,2,27,27,0
0500210000000000010814,41,38,0,1,2,39,38,0
0500210000000000010812,16,14,0,0,2,14,14,0
0500220020300200010103,22,13,0,7,2,13,13,0
0500220020300200010102,16,13,0,3,0,14,13,0
0500220020300200010105,3,0,0,2,1,0,0,0
0500220020300200010104,5,5,0,0,0,5,4,1
0500210000000000010825,18,15,0,0,3,15,15,0
0500210000000000010824,0,0,0,0,0,0,0,0
0500220020300200010101,27,17,0,7,3,17,17,0
0500210000000000010826,0,0,0,0,0,0,0,0
0500210000000000010710,12,12,0,0,0,14,11,1
0500210000000000010709,0,0,0,0,0,0,0,0
0500210000000000010712,27,20,0,3,4,20,20,0
0500210000000000010711,11,8,0,0,3,8,8,0
0500210000000000010706,37,32,0,0,5,32,32,0
0500210000000000010705,33,24,1,6,2,24,24,0
0500210000000000010708,31,25,0,2,4,26,25,0
